link,location,cost,capacity
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/sdaetsya-v-arendu-sklad-arochnik.html,"53.930652, 27.759207",2510,502
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/sdaetsya-v-arendu-skladskoe-pomeschenie-ploschadyu-962-m-kv-po-nizkoy-stoimosti-5-rub-za-m-kv-s-nds.html,"53.917714, 27.583647",4810,962
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/sdaetsya-proizvodstvenno-skladskoe-pomeschenie-ot-576-6-kv-m-d-korolev-stan-ul-moskovskaya-17-bez-komissii.html,"53.886729, 27.539178",4032,576
